ID,Severity,Category,Issue,File,Line,CWE,Impact,Priority
1,CRITICAL,Security,Command Injection via Shell Execution,src/cli/node-platform.ts,41,CWE-78,Complete system compromise,P0
2,CRITICAL,Security,Prototype Pollution via JSON.parse,src/cli/council-config.ts,114,CWE-1321,Remote code execution,P0
3,CRITICAL,Security,Path Traversal with TOCTOU Race,src/cli/run-council.ts,391-396,CWE-22,Arbitrary file access,P0
4,CRITICAL,Security,API Key Exposure in Errors,src/cli/llm-caller.ts,69-76,CWE-532,Credential theft,P0
5,CRITICAL,Security,Arbitrary File Write Without Size Limits,src/cli/node-platform.ts,23-28,CWE-400,Denial of service,P0
6,CRITICAL,Security,Insufficient Child Process Cleanup,src/cli/claude-caller.ts,99-145,CWE-404,Resource leak / orphan processes,P0
7,CRITICAL,Security,Unvalidated Config File Execution,src/cli/council-config.ts,89-108,CWE-913,Arbitrary code execution,P0
8,CRITICAL,Security,No Rate Limiting on API Calls,src/cli/llm-caller.ts,52-92,CWE-770,Financial loss / DoS,P0
9,CRITICAL,Security,Environment Variable Leakage,src/cli/claude-caller.ts,97,CWE-200,Credential exposure,P0
10,CRITICAL,Performance,Synchronous File I/O Blocking Event Loop,src/cli/localStorage-shim.ts,29,CWE-405,Application freeze / timeout,P0
11,CRITICAL,Security,Missing Request Timeouts,src/cli/llm-caller.ts,69,CWE-835,Infinite hangs,P0
12,CRITICAL,Security,Cleartext Credential Storage,src/cli/localStorage-shim.ts,19,CWE-312,Credential theft,P0
13,HIGH,Reliability,No Retry Logic for Transient Failures,src/cli/llm-caller.ts,69-76,N/A,Poor reliability,P1
14,HIGH,Data Integrity,Debounced Save Race Condition,src/cli/localStorage-shim.ts,86-94,N/A,Data loss on crash,P1
15,HIGH,Security,Weak Session ID Generation,src/council/context-store.ts,95,CWE-330,Session prediction,P1
16,HIGH,Security,Directory Traversal via Symlinks,src/cli/node-platform.ts,11-17,CWE-59,File access bypass,P1
17,HIGH,Security,Unsafe Process Spawning,src/cli/codex-caller.ts,65,CWE-404,Orphan processes,P1
18,HIGH,Cost,Excessive Token Budget Without Monitoring,src/cli/run-council.ts,271,N/A,Unexpected costs,P1
19,HIGH,Reliability,Unhandled Promise Rejections,Multiple files,N/A,N/A,Process crashes,P1
20,HIGH,Security,Missing Input Validation on User Messages,src/cli/llm-caller.ts,142,CWE-20,Injection attacks,P1
21,HIGH,Debugging,Insufficient Error Information,src/cli/claude-caller.ts,122-124,N/A,Hard to debug,P1
22,HIGH,Configuration,Magic Numbers and Hardcoded Timeouts,src/cli/claude-caller.ts,102,N/A,Inflexible configuration,P1
23,HIGH,Security,No CORS/CSP Headers,Integration endpoints,N/A,N/A,XSS / CSRF attacks,P1
24,HIGH,Operations,No Health Checks,Integration servers,N/A,N/A,No monitoring,P1
25,HIGH,Security,Session Fixation,Session management,N/A,CWE-384,Session hijacking,P1
26,HIGH,Security,No HTTPS Enforcement,src/cli/llm-caller.ts,N/A,CWE-319,MitM attacks,P1
27,HIGH,Security,No Input Sanitization for HTML/XML,Multiple files,N/A,CWE-79,XSS attacks,P1
28,HIGH,Security,Timing Attacks Possible,Authentication code,N/A,CWE-208,Credential enumeration,P1
29,HIGH,Security,Missing Access Control on Artifacts,src/council/context-store.ts,N/A,CWE-862,Unauthorized access,P1
30,HIGH,Security,No Audit Logging,All security operations,N/A,N/A,No forensics,P1
31,MEDIUM,Performance,No Streaming for Large Files,src/cli/node-platform.ts,30-36,CWE-400,Memory exhaustion,P2
32,MEDIUM,Performance,Inefficient JSON Stringification,src/cli/localStorage-shim.ts,42,N/A,Disk space waste,P2
33,MEDIUM,Security,Missing File Size Validation,src/cli/node-platform.ts,23,CWE-400,DoS via large files,P2
34,MEDIUM,Security,Inefficient Regex (ReDoS Risk),src/pipeline/output-parsers.ts,18,CWE-1333,CPU exhaustion,P2
35,MEDIUM,Performance,No Connection Pooling,src/cli/llm-caller.ts,69,N/A,Slow performance,P2
36,MEDIUM,Performance,Inefficient Array Operations,src/council/context-store.ts,74-84,N/A,O(n) vs O(1) lookups,P2
37,MEDIUM,Memory,Memory Leaks in Event Listeners,src/council/context-store.ts,576-582,CWE-401,Memory growth,P2
38,MEDIUM,Data,Timezone Issues,Multiple files,N/A,N/A,Incorrect timestamps,P2
39,MEDIUM,Performance,No Pagination for Large Result Sets,src/council/ledger-store.ts,N/A,CWE-400,Memory exhaustion,P2
40,MEDIUM,Code Quality,Inconsistent Error Exit Codes,Multiple files,N/A,N/A,Hard to script,P2
41,MEDIUM,Performance,console.log in Production,Multiple files,N/A,N/A,Performance overhead,P2
42,MEDIUM,Type Safety,Missing TypeScript noImplicitAny,tsconfig.json,N/A,N/A,Type safety gaps,P2
43,MEDIUM,Type Safety,Weak Type Assertions (as any),Multiple files,N/A,N/A,Type safety bypass,P2
44,MEDIUM,Maintainability,Duplicate Code,src/cli/claude-caller.ts,N/A,N/A,High maintenance cost,P2
45,MEDIUM,Maintainability,Long Functions (300+ lines),src/cli/run-council.ts,195-492,N/A,Hard to test,P2
46,MEDIUM,Documentation,Missing JSDoc Comments,Multiple files,N/A,N/A,Hard to use API,P2
47,MEDIUM,Code Quality,Inconsistent Naming Conventions,Multiple files,N/A,N/A,Confusing codebase,P2
48,MEDIUM,Code Quality,Dead Code (Unused Exports),Multiple files,N/A,N/A,Code bloat,P2
49,MEDIUM,Code Quality,No Linter Configuration,Root,N/A,N/A,Inconsistent style,P2
50,MEDIUM,Configuration,Hardcoded Paths,src/cli/claude-caller.ts,40,N/A,Not configurable,P2
51,MEDIUM,Error Handling,Silent Fallbacks Hide Errors,src/cli/llm-caller.ts,228,N/A,Config errors hidden,P2
52,LOW,Code Style,Inconsistent Indentation,Multiple files,N/A,N/A,Readability,P3
53,LOW,Code Style,Missing Newlines at EOF,Multiple files,N/A,N/A,Git diffs messy,P3
54,LOW,Code Quality,Unused Imports,Multiple files,N/A,N/A,Code bloat,P3
55,LOW,Code Quality,Verbose Conditional Logic,Multiple files,N/A,N/A,Readability,P3
56,LOW,Code Quality,Magic Strings Instead of Constants,Multiple files,N/A,N/A,Hard to refactor,P3
57,LOW,Type Safety,Missing readonly Modifiers,Multiple files,N/A,N/A,Mutability bugs,P3
58,LOW,Code Quality,Non-Descriptive Variable Names,Multiple files,N/A,N/A,Readability,P3
59,LOW,Code Quality,Commented-Out Code,Multiple files,N/A,N/A,Code clutter,P3
60,LOW,Code Quality,TODOs in Production Code,Multiple files,N/A,N/A,Incomplete features,P3
61,LOW,Code Quality,Inconsistent File Naming,Multiple files,N/A,N/A,Organization,P3
62,LOW,Configuration,Missing .editorconfig,Root,N/A,N/A,Inconsistent formatting,P3
63,LOW,Development,No Pre-Commit Hooks,Root,N/A,N/A,Quality not enforced,P3
